scam_id,description,dollars_lost,target_location,scammer_location,scammer_email,scammer_phone,scammer_website,date_reported,scam_type,business_name,PTs
936895,"PayPaI Customer Care
ppcase29392.8.0@gmail.com
We've detected an unauthorized Coinbase transaction on your PayPal account:
Amount: $459.19
Transaction ID: PC-4829371560
To ensure the security of your account and to receive a full refund,
we urge you to contact our dedicated
Customer Support team immediately at (833)X (870)X (2664)
.Our team is available 24/7 to assist you and prevent any further unauthorized activity on your account.
We take the security of your account very seriously and we are committed to helping you resolve this issue as soon as possible. Thank you for your prompt attention to this matter.
Best regards,",,"WA, USA- 98338",Unknown Location,dse_na4@docusign.net,(833) 870-2664,DocuSign.com,"January 22, 2025",Phishing,PayPal /Imposter,"{'Authority and Impersonation': 'PayPaI Customer Care ... We take the security of your account very seriously and we are committed to helping you resolve this issue as soon as possible.', 'Fear and Intimidation': ""We've detected an unauthorized Coinbase transaction on your PayPal account: Amount: $459.19"", 'Urgency and Scarcity': 'To ensure the security of your account and to receive a full refund, we urge you to contact our dedicated Customer Support team immediately ... Our team is available 24/7 to assist you and prevent any further unauthorized activity on your account.', 'Pretext and trust': ""We've detected an unauthorized Coinbase transaction on your PayPal account ... To ensure the security of your account and to receive a full refund, we urge you to contact our dedicated Customer Support team immediately""}"
961754,"I received letter asking for the VIN and mileage of car I purchased last month.
“Our records indicate that you have not contacted us regarding mechanical coverage on the vehicle you purchased recently.
You are receiving this notice because a limited amount of time has been allotted to the expiration of your vehicle’s factory warranty coverage.
By neglecting to replace your coverage you will be at risk of being financially liable for any and all repairs after your factory warranty expires. However, you still may have time left to activate coverage on this vehicle before it’s too late. Final acceptance is subject to your ability to meet eligibility requirements.
This may be our only attempt to contact you about your additional mechanical repair coverage.
We reserve the right to revoke your eligibility for service coverage if you do not meet our criteria. Call within 5 days to ensure eligibility.
Sincerely,
Paul Frederick
Program Coordinator
United Automotive Services “",,"AL, USA- 35630",Unknown Location,Unknown Email,1(833) 330-5441,Unknown URL,"March 21, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'Sincerely,\nPaul Frederick\nProgram Coordinator\nUnited Automotive Services', 'Fear and Intimidation': 'By neglecting to replace your coverage you will be at risk of being financially liable for any and all repairs after your factory warranty expires.', 'Urgency and Scarcity': 'Call within 5 days to ensure eligibility.', 'Pretext and trust': 'This may be our only attempt to contact you about your additional mechanical repair coverage.'}"
962620,"The scam was the following email that was to be generated by the PayPal Security Team: Dear Customer,
We've detected an unusual payment attempt on your PayPal account for 0.0097 BTC (currently valued at $799.99). This transaction originated from an unfamiliar IP address in Texas, which has not been previously associated with your account.
For your security, we have temporarily placed this transaction on hold. To either confirm or deny this payment, please reach out to us immediately. If we do not hear from you within two hours, the transaction will be processed.
.
Next Steps
Our 24/7 Resolution Centre is available to assist you:
Call: ?+1(831)225-1461?
Transaction Summary
• Item: Bitcoin Purchase (0.00789 BTC)
• Total Amount: $799.99
• Transaction Date: March 24, 2025
• Invoice ID: 9243582",,"GA, USA- 30054",Unknown Location,noreply@mail.hellosign.com,(831) 225-1461,www.hellosign.com,"March 24, 2025",Phishing,Phishing Imposter- Paypal,"{'Authority and Impersonation': 'The scam was the following email that was to be generated by the PayPal Security Team: Dear Customer,', 'Fear and Intimidation': ""We've detected an unusual payment attempt on your PayPal account for 0.0097 BTC (currently valued at $799.99). This transaction originated from an unfamiliar IP address in Texas, which has not been previously associated with your account."", 'Urgency and Scarcity': 'If we do not hear from you within two hours, the transaction will be processed.', 'Pretext and trust': 'For your security, we have temporarily placed this transaction on hold. To either confirm or deny this payment, please reach out to us immediately. Our 24/7 Resolution Centre is available to assist you:'}"
962644,"Since i could not post the email I received, I typed it the best I could with the oddities found with the phone number and other expressions. Of course, I didn’t click on any link or sent a response.
Email from Cassandra Jensen. - email: mangmoon641@gmail.com
Paypal
Date: 24 March 2025
Bill ID: KAE-86423-RWYINTWY-707208.  Transaction ID: 1709698
Thank you for your Order
In response to member. xxxxxxxx@gmail.com
We are proud to be your favorite payment system provider and we appreciate your transaction with us. Kindly check the order details below. Also the order can be cancelled or modified within 12 hours of the transaction. Reach out to us on +1 (888)A 651-8281. In case you change your mind.
Paypal Customer Id:  xWWCDqIEvyATx
Purchased Item $239.04 USD
Quantity (4 Devices)
Total $239.04 USD
Payment Method: Auto debit from your bank account.
If you didn’t initiate this purchase or this payment is not made by you, directly reach out our support atAA+1(888)A 651-8281.",,"VA, USA- 22902",Unknown Location,mangmoon641@gmail.com,Unknown Phone Number,Unknown URL,"March 24, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'Paypal\nDate: 24 March 2025\nBill ID: KAE-86423-RWYINTWY-707208.  Transaction ID: 1709698\nWe are proud to be your favorite payment system provider and we appreciate your transaction with us.', 'Urgency and Scarcity': 'Also the order can be cancelled or modified within 12 hours of the transaction.', 'Fear and Intimidation': 'If you didn’t initiate this purchase or this payment is not made by you, directly reach out our support atAA+1(888)A 651-8281.', 'Pretext and trust': 'Thank you for your Order\nIn response to member. xxxxxxxx@gmail.com\nWe are proud to be your favorite payment system provider and we appreciate your transaction with us. Kindly check the order details below.'}"
963991,"I received an email:  I called the number and I knew it wasn't legit.  I do not even have a pay pal account.....After I told him what I knew he was doing, he hung up.
Dear Valued PayPal Customer,
We have discovered an unauthorized transaction on your account, involving a purchase from CoinBase Inc. that was not authorized by you. The transaction details are as follows:
Transaction ID: TJ02L94
Amount: $542.25
Payment Method: Bank Pay
To ensure the security of your account and to process an immediate refund, you must call our Fraud Prevention Team as soon as possible at:
+1 (888) 370-5163
Please be assured that protecting your account security is our top priority, and we are fully committed to assisting you in resolving this matter effectively. Thank you for your attention, and we anticipate your prompt communication.
Warm Regards,
PayPal Support Team
+1 (888) 370-5163
Do Not Share This Email",,"LA, USA- 70578",Unknown Location,damien.solly@thedaring.org,1(888) 370-5163,Paypal,"March 26, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'Dear Valued PayPal Customer, ... Warm Regards, PayPal Support Team', 'Fear and Intimidation': 'We have discovered an unauthorized transaction on your account, involving a purchase from CoinBase Inc. that was not authorized by you.', 'Urgency and Scarcity': 'To ensure the security of your account and to process an immediate refund, you must call our Fraud Prevention Team as soon as possible at: +1 (888) 370-5163', 'Pretext and trust': 'We have discovered an unauthorized transaction on your account, involving a purchase from CoinBase Inc. that was not authorized by you. ... To ensure the security of your account and to process an immediate refund...'}"
964832,"Email Text; ""A concerning report has been submitted via our platform, pointing to potential fraudulent activities linked to Presbyterian SeniorCare. The details are ready for your immediate review.
Please investigate this matter urgently. Access the details and respond within 14 calendar days with your explanation.""",,"PA, USA- 15301",PA,kheinrich@bbb-claims.org,Unknown Phone Number,Unknown URL,"March 28, 2025",Phishing,Better Business Bureau Imposter,"{'Authority and Impersonation': 'A concerning report has been submitted via our platform, pointing to potential fraudulent activities linked to Presbyterian SeniorCare. The details are ready for your immediate review.', 'Urgency and Scarcity': 'Please investigate this matter urgently. Access the details and respond within 14 calendar days with your explanation.', 'Fear and Intimidation': 'A concerning report has been submitted ... pointing to potential fraudulent activities ... Please investigate this matter urgently.'}"
962867,"""This letter is to inform you about an important matter regarding the property at--------secured by your current lender which is Quicken Loans Llc. WE reserve the right to revoke allocated waiver after 7 days of receiving this notice. Please call IMMEDIATELY as this will be our FINAL ATTEMPT TO NOTIFY YOU 888-467-3210.",,"MT, USA- 59102",Unknown Location,Unknown Email,(888) 467-3210,Unknown URL,"March 24, 2025",Phishing,"Home Warranty Department,","{'Authority and Impersonation': 'regarding the property at--------secured by your current lender which is Quicken Loans Llc.', 'Fear and Intimidation': 'WE reserve the right to revoke allocated waiver after 7 days of receiving this notice.', 'Urgency and Scarcity': 'Please call IMMEDIATELY as this will be our FINAL ATTEMPT TO NOTIFY YOU 888-467-3210.', 'Pretext and trust': 'regarding the property at--------secured by your current lender which is Quicken Loans Llc.'}"
961743,"Text message received:
SunPass: You must clear your toll within 24 hours to avoid suspension of your driver’s license and vehicle registration. Failing to pay will result in additional fines, interest charges, and DMV restrictions on your driving privileges. SunPass hopes your travels are smooth and easy today! Resolve this issue within the next 24 hours:https://cutt.ly/Iry50lTe?xkg=w3r3tEE4oo",,"FL, USA- 34480",GA,Unknown Email,(229) 589-3496,https://cutt.ly/Iry50lTe?xkg=w3r3tEE4oo,"March 21, 2025",Phishing,Sunpass,"{'Authority and Impersonation': 'SunPass: You must clear your toll within 24 hours to avoid suspension of your driver’s license and vehicle registration.', 'Fear and Intimidation': 'Failing to pay will result in additional fines, interest charges, and DMV restrictions on your driving privileges.', 'Urgency and Scarcity': 'You must clear your toll within 24 hours to avoid suspension of your driver’s license and vehicle registration.', 'Pretext and trust': 'SunPass hopes your travels are smooth and easy today!'}"
965101,"Received this text: ""Your toll payment for EZ Pas Lane must be settled by March 27, 2025. To avoid fines and the suspension of your driving privileges, kindly pay by the due date. Pay here: https://e-zpass,com-vipdj.xin/us Please reply with Y then exit the text message. Open it again, click he link, or copy it into your safari browser and open it.",,"OH, USA- 43215",Unknown Location,ltravwscvvisg795@icoud.com,Unknown Phone Number,"https://e-zpass,com-vipdj.xin/us","March 28, 2025",Phishing,Unknown,"{'Authority and Impersonation': 'Your toll payment for EZ Pas Lane must be settled by March 27, 2025.', 'Fear and Intimidation': 'To avoid fines and the suspension of your driving privileges, kindly pay by the due date.', 'Urgency and Scarcity': 'must be settled by March 27, 2025.'}"
963807,"Dear (name),
This is your Warranty Replacement notice advising you to contact our offices so you do not have a lapse in coverage for all available covered components. With active services, all repairs and replacements will be covered that reflect your updated paperwork,  Call 1-888-413-5452 now before it's too late and your expiration date expires leaving your home at risk of expensive repairs and/or product replacement.
REGISTRATION IS REQUIRED FOR CONTINUED PROTECTION.         (Problem is, I don't have this service.)",,"OH, USA- 44201","Dallas, TX",Unknown Email,1(888) 413-5452,None given,"March 26, 2025",Phishing,Home Warranty,"{'Authority and Impersonation': 'This is your Warranty Replacement notice advising you to contact our offices so you do not have a lapse in coverage for all available covered components.', 'Fear and Intimidation': ""before it's too late and your expiration date expires leaving your home at risk of expensive repairs and/or product replacement."", 'Urgency and Scarcity': ""Call 1-888-413-5452 now before it's too late"", 'Pretext and trust': 'This is your Warranty Replacement notice advising you to contact our offices so you do not have a lapse in coverage for all available covered components.'}"
